t_ms,s1,s2,s1_norm,s2_norm,thr1,thr2,line1,line2
1896240,1779,938,0.0,0.0,412.5,409.0,1,1
1896340,1733,958,0.0,0.0,412.5,409.0,1,1
1896440,1658,807,0.0,0.0111,412.5,409.0,1,1
1896540,1590,752,0.0,0.0786,412.5,409.0,1,1
1896640,1535,728,0.0,0.1081,412.5,409.0,1,1
1896740,1535,751,0.0,0.0799,412.5,409.0,1,1
1896840,1627,794,0.0,0.027,412.5,409.0,1,1
1896940,1600,768,0.0,0.059,412.5,409.0,1,1
1897040,1568,755,0.0,0.0749,412.5,409.0,1,1
1897140,1474,703,0.0,0.1388,412.5,409.0,1,1
1897240,1482,696,0.0,0.1474,412.5,409.0,1,1
1897340,1677,683,0.0,0.1634,412.5,409.0,1,1
1897440,1535,674,0.0,0.1744,412.5,409.0,1,1
1897540,1523,698,0.0,0.145,412.5,409.0,1,1
1897640,1456,649,0.0,0.2052,412.5,409.0,1,1
1897740,1438,623,0.0,0.2371,412.5,409.0,1,1
1897840,1468,619,0.0,0.242,412.5,409.0,1,1
1897940,1430,592,0.0,0.2752,412.5,409.0,1,1
1898040,1408,579,0.0,0.2912,412.5,409.0,1,1
1898140,1417,560,0.0,0.3145,412.5,409.0,1,1
1898240,1392,535,0.0,0.3452,412.5,409.0,1,1
1898340,1394,570,0.0,0.3022,412.5,409.0,1,1
1898440,1363,562,0.0,0.312,412.5,409.0,1,1
1898540,1366,583,0.0,0.2862,412.5,409.0,1,1
1898640,1392,559,0.0,0.3157,412.5,409.0,1,1
1898740,1349,491,0.0,0.3993,412.5,409.0,1,1
1898840,1339,496,0.0,0.3931,412.5,409.0,1,1
1898940,1326,467,0.0,0.4287,412.5,409.0,1,1
1899040,1233,434,0.0,0.4693,412.5,409.0,1,1
1899140,1214,363,0.0,0.5565,412.5,409.0,1,0
1899240,1200,345,0.0,0.5786,412.5,409.0,1,0
1899340,1216,353,0.0,0.5688,412.5,409.0,1,0
1899440,1200,392,0.0,0.5209,412.5,409.0,1,0
1899540,1260,450,0.0,0.4496,412.5,409.0,1,1
1899640,1215,394,0.0,0.5184,412.5,409.0,1,0
1899740,1167,372,0.0,0.5455,412.5,409.0,1,0
1899840,1137,335,0.0,0.5909,412.5,409.0,1,0
1899940,1722,912,0.0,0.0,412.5,409.0,1,1
1900040,3760,3733,0.0,0.0,412.5,409.0,1,1
1900140,4095,4095,0.0,0.0,412.5,409.0,1,1
1900240,4095,4095,0.0,0.0,412.5,409.0,1,1
1900340,4092,4095,0.0,0.0,412.5,409.0,1,1
1900440,4095,4095,0.0,0.0,412.5,409.0,1,1
1900540,4095,4090,0.0,0.0,412.5,409.0,1,1
1900640,4095,4095,0.0,0.0,412.5,409.0,1,1
1900740,4095,4095,0.0,0.0,412.5,409.0,1,1
1900840,3939,3903,0.0,0.0,412.5,409.0,1,1
1900940,3374,3333,0.0,0.0,412.5,409.0,1,1
1901040,3139,3122,0.0,0.0,412.5,409.0,1,1
1901140,3198,3127,0.0,0.0,412.5,409.0,1,1
